what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.launching,3.4.0.v20080529-1300,org.eclipse.jdt.launching,1218145283541
started,bundle,org.eclipse.jdt.launching.macosx,3.1.100.v20080422,org.eclipse.jdt.launching.macosx,1218145283551
started,bundle,org.eclipse.core.filesystem,1.2.0.v20080604-1400,org.eclipse.core.filesystem,1218145295081
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1218145295365
started,bundle,org.eclipse.jdt.apt.core,3.3.100.v20080513-1235,org.eclipse.jdt.apt.core,1218145295422
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1218145301043
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1218145301284
closed,view,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.internal.introview,1218145301299
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1218145302880
started,bundle,org.eclipse.ltk.core.refactoring,3.4.0.v20080603-2000,org.eclipse.ltk.core.refactoring,1218145307582
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.0.v20080605-1800,org.eclipse.ltk.ui.refactoring,1218145307584
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1218145310978
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1218145341659
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.import,1218145341730
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.import,1218145341730
started,bundle,org.eclipse.wst.sse.core,1.1.300.v200805221633,org.eclipse.wst.sse.core,1218145346679
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1218145361284
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1218145361459
started,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1218145361571
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1218145362024
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1218145374601
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1218145377592
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1218145377695
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1218145381705
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1218146257656
