what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.emf.ecoretools.properties,0.8.0.v200806130600,org.eclipse.emf.ecoretools.properties,1269573996062
stopped,bundle,org.eclipse.emf.ecoretools.tabbedproperties,0.8.0.v200806130600,org.eclipse.emf.ecoretools.tabbedproperties,1269573996063
stopped,bundle,org.eclipse.emf.mapping.ecore2xml.ui,2.4.0.v200806091234,org.eclipse.emf.mapping.ecore2xml.ui,1269573996063
stopped,bundle,org.eclipse.emf.mapping.xsd2ecore.editor,2.4.0.v200806091234,org.eclipse.emf.mapping.xsd2ecore.editor,1269573996063
stopped,bundle,org.eclipse.emf.mapping.ui,2.4.0.v200806091234,org.eclipse.emf.mapping.ui,1269573996063
stopped,bundle,org.eclipse.emf.transaction.ui,1.2.0.v200805130238,org.eclipse.emf.transaction.ui,1269573996064
stopped,bundle,org.eclipse.emf.workspace.ui,1.2.0.v200805130238,org.eclipse.emf.workspace.ui,1269573996065
stopped,bundle,org.eclipse.m2m.qvt.oml.samples,1.0.0.v20080611-1330,org.eclipse.m2m.qvt.oml.samples,1269573996065
stopped,bundle,org.eclipse.uml2.uml.editor,2.2.0.v200805131030,org.eclipse.uml2.uml.editor,1269573996065
stopped,bundle,org.eclipse.emf.edit.ui,2.4.0.v200806091234,org.eclipse.emf.edit.ui,1269573996065
stopped,bundle,org.eclipse.emf.codegen.ui,2.4.0.v200806091234,org.eclipse.emf.codegen.ui,1269573996066
stopped,bundle,org.eclipse.emf.example.installer,1.0.0.v200806091234,org.eclipse.emf.example.installer,1269573996066
stopped,bundle,org.eclipse.xsd.example.installer,1.0.0.v200806091234,org.eclipse.xsd.example.installer,1269573996066
stopped,bundle,org.eclipse.emf.common.ui,2.4.0.v200806091234,org.eclipse.emf.common.ui,1269573996066
stopped,bundle,org.eclipse.wst.command.env.ui,1.1.0.v200805140415,org.eclipse.wst.command.env.ui,1269573996066
stopped,bundle,org.eclipse.wst.validation.ui,1.2.0.v200805262011,org.eclipse.wst.validation.ui,1269573996066
stopped,bundle,org.eclipse.wst.common.frameworks.ui,1.1.200.v200805221400,org.eclipse.wst.common.frameworks.ui,1269573996066
stopped,bundle,org.eclipse.wst.common.project.facet.ui,1.3.0.v200805281731,org.eclipse.wst.common.project.facet.ui,1269573996066
stopped,bundle,org.eclipse.wst.common.snippets,1.1.200.v200805140415,org.eclipse.wst.common.snippets,1269573996066
stopped,bundle,org.eclipse.emf.ocl.examples,1.2.0.v200805130238,org.eclipse.emf.ocl.examples,1269573996066
stopped,bundle,org.eclipse.emf.query.examples,1.2.0.v200805130238,org.eclipse.emf.query.examples,1269573996066
stopped,bundle,org.eclipse.emf.transaction.examples,1.2.0.v200806051817,org.eclipse.emf.transaction.examples,1269573996066
stopped,bundle,org.eclipse.emf.validation.examples,1.2.0.v200805280204,org.eclipse.emf.validation.examples,1269573996066
stopped,bundle,org.eclipse.gef.examples.ui.pde,3.4.0.v20080226,org.eclipse.gef.examples.ui.pde,1269573996066
stopped,bundle,org.eclipse.gmf.examples.ui.pde,1.0.200.v20080425-1959,org.eclipse.gmf.examples.ui.pde,1269573996066
