what,kind,bundleId,bundleVersion,description,time
resolved,bundle,com.palm.pdt.core,0.9.2.200907131829,com.palm.pdt.core,1248317335691
resolved,bundle,com.palm.pdt.ui,0.9.2.200907131829,com.palm.pdt.ui,1248317335780
resolved,bundle,com.palm.pdt.aptana,0.9.2.200907131829,com.palm.pdt.aptana,1248317335780
resolved,bundle,com.aptana.ide.eclipse34.aptana.bootstrap,1.2.6.23265,com.aptana.ide.eclipse34.aptana.bootstrap,1248317335783
started,bundle,com.aptana.ide.eclipse34.aptana.bootstrap,1.2.6.23265,com.aptana.ide.eclipse34.aptana.bootstrap,1248317336155
started,bundle,org.eclipse.mylyn.ide.ant,3.0.0.v20080619-1900,org.eclipse.mylyn.ide.ant,1248317341600
started,bundle,org.eclipse.mylyn.java.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.java.ui,1248317341669
started,bundle,org.eclipse.mylyn.resources.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.resources.ui,1248317341726
closed,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1248317341886
started,bundle,org.eclipse.core.filesystem,1.2.0.v20080604-1400,org.eclipse.core.filesystem,1248317342005
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.0.v20080619-1900,org.eclipse.mylyn.ide.ant,1248317342457
stopped,bundle,org.eclipse.uml2.diagram.codegen.edit,0.8.0.v200806112132,org.eclipse.uml2.diagram.codegen.edit,1248317342457
stopped,bundle,org.eclipse.uml2.diagram.codegen,0.8.0.v200806112132,org.eclipse.uml2.diagram.codegen,1248317342458
stopped,bundle,org.eclipse.gmf.codegen.ui,1.1.0.v20080512-1200,org.eclipse.gmf.codegen.ui,1248317342458
stopped,bundle,org.eclipse.m2m.qvt.oml.editor.ui,1.0.0.v20080611-1330,org.eclipse.m2m.qvt.oml.editor.ui,1248317342459
stopped,bundle,org.eclipse.m2m.qvt.oml.ui,1.0.0.v20080611-1330,org.eclipse.m2m.qvt.oml.ui,1248317342459
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.0.v20080603,org.eclipse.pde.api.tools.ui,1248317342460
stopped,bundle,org.eclipse.pde.p2.ui,1.0.0.v20080604-2000,org.eclipse.pde.p2.ui,1248317342460
stopped,bundle,org.eclipse.pde.runtime,3.4.0.v20080530-1200,org.eclipse.pde.runtime,1248317342461
stopped,bundle,org.eclipse.pde.ui.templates,3.4.0.v20080514-1500,org.eclipse.pde.ui.templates,1248317342462
stopped,bundle,org.eclipse.pde.ui,3.4.0.v20080530,org.eclipse.pde.ui,1248317342479
stopped,bundle,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui,1248317342480
stopped,bundle,org.eclipse.mylyn.java.tasks,3.0.0.v20080619-1900,org.eclipse.mylyn.java.tasks,1248317342480
stopped,bundle,org.eclipse.mylyn.java.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.java.ui,1248317342498
stopped,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1248317342499
