what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1241631625641
stopped,bundle,org.eclipse.emf.ecoretools.diagram,0.8.0.v200806130600,org.eclipse.emf.ecoretools.diagram,1241631625641
stopped,bundle,org.eclipse.gmf.ecore.editor,2.0.100.v20080610-1132,org.eclipse.gmf.ecore.editor,1241631625641
stopped,bundle,org.eclipse.uml2.diagram.activity,0.8.0.v200806112132,org.eclipse.uml2.diagram.activity,1241631625641
stopped,bundle,org.eclipse.uml2.diagram.clazz,0.8.0.v200806112132,org.eclipse.uml2.diagram.clazz,1241631625641
stopped,bundle,org.eclipse.uml2.diagram.component,0.8.0.v200806112132,org.eclipse.uml2.diagram.component,1241631625641
stopped,bundle,org.eclipse.uml2.diagram.csd,0.8.0.v200806112132,org.eclipse.uml2.diagram.csd,1241631625641
stopped,bundle,org.eclipse.uml2.diagram.deploy,0.8.0.v200806112132,org.eclipse.uml2.diagram.deploy,1241631625641
stopped,bundle,org.eclipse.uml2.diagram.profile,0.8.0.v200806112132,org.eclipse.uml2.diagram.profile,1241631625641
stopped,bundle,org.eclipse.uml2.diagram.statemachine,0.8.0.v200806112132,org.eclipse.uml2.diagram.statemachine,1241631625641
stopped,bundle,org.eclipse.uml2.diagram.usecase,0.8.0.v200806112132,org.eclipse.uml2.diagram.usecase,1241631625641
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.render,1.1.0.v20080603-1553,org.eclipse.gmf.runtime.diagram.ui.render,1241631625641
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.printing.render,1.1.0.v20080425-1959,org.eclipse.gmf.runtime.diagram.ui.printing.render,1241631625744
stopped,bundle,org.eclipse.m2m.qvt.oml.runtime.ui,1.0.0.v20080611-1330,org.eclipse.m2m.qvt.oml.runtime.ui,1241631625745
stopped,bundle,org.eclipse.m2m.qvt.oml.runtime,1.0.0.v20080611-1330,org.eclipse.m2m.qvt.oml.runtime,1241631625745
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools,1241631625797
stopped,bundle,org.eclipse.jet.ui,0.9.0.v20080527,org.eclipse.jet.ui,1241631625797
stopped,bundle,org.eclipse.m2m.atl.adt.editor,2.0.0.v200806101117,org.eclipse.m2m.atl.adt.editor,1241631625797
stopped,bundle,org.eclipse.m2m.atl.engine.emfvm,2.0.0.v200806101117,org.eclipse.m2m.atl.engine.emfvm,1241631625798
