what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.uml2.diagram.deploy,0.8.0.v200806112132,org.eclipse.uml2.diagram.deploy,1242673030689
started,bundle,org.eclipse.uml2.diagram.parser,0.8.0.v200806112132,org.eclipse.uml2.diagram.parser,1242673030734
started,bundle,org.eclipse.uml2.diagram.profile,0.8.0.v200806112132,org.eclipse.uml2.diagram.profile,1242673030822
started,bundle,org.eclipse.uml2.diagram.statemachine,0.8.0.v200806112132,org.eclipse.uml2.diagram.statemachine,1242673030899
started,bundle,org.eclipse.uml2.diagram.usecase,0.8.0.v200806112132,org.eclipse.uml2.diagram.usecase,1242673030991
started,bundle,org.eclipse.uml2.uml,2.2.0.v200805141133,org.eclipse.uml2.uml,1242673031082
started,bundle,org.eclipse.uml2.uml.edit,2.2.0.v200805131030,org.eclipse.uml2.uml.edit,1242673031159
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1242673031200
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1242673031459
started,bundle,org.eclipse.epp.usagedata.ui,1.0.0.R200806162215,org.eclipse.epp.usagedata.ui,1242673032272
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1242673032978
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1242673035823
activated,editor,org.eclipse.uml2.diagram.usecase,0.8.0.v200806112132,org.eclipse.uml2.diagram.usecase.part.UMLDiagramEditorID,1242680769695
started,bundle,org.eclipse.mylyn.ide.ant,3.0.0.v20080619-1900,org.eclipse.mylyn.ide.ant,1242680777040
started,bundle,org.eclipse.mylyn.java.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.java.ui,1242680777072
started,bundle,org.eclipse.mylyn.resources.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.resources.ui,1242680777148
closed,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1242680777652
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.0.v20080619-1900,org.eclipse.mylyn.ide.ant,1242680778612
stopped,bundle,org.eclipse.uml2.diagram.codegen.edit,0.8.0.v200806112132,org.eclipse.uml2.diagram.codegen.edit,1242680778643
stopped,bundle,org.eclipse.uml2.diagram.codegen,0.8.0.v200806112132,org.eclipse.uml2.diagram.codegen,1242680778664
stopped,bundle,org.eclipse.gmf.codegen.ui,1.1.0.v20080512-1200,org.eclipse.gmf.codegen.ui,1242680778706
stopped,bundle,org.eclipse.m2m.qvt.oml.editor.ui,1.0.0.v20080611-1330,org.eclipse.m2m.qvt.oml.editor.ui,1242680778770
stopped,bundle,org.eclipse.m2m.qvt.oml.ui,1.0.0.v20080611-1330,org.eclipse.m2m.qvt.oml.ui,1242680778813
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.0.v20080603,org.eclipse.pde.api.tools.ui,1242680778844
stopped,bundle,org.eclipse.pde.p2.ui,1.0.0.v20080604-2000,org.eclipse.pde.p2.ui,1242680778855
