what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.uml2.diagram.usecase,0.8.0.v200806112132,org.eclipse.uml2.diagram.usecase.part.UMLDiagramEditorID,1241558256393
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1241558276303
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1241558302002
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1241625158449
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1241625171096
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1241625182064
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1241625258149
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1241625263567
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1241625370772
opened,editor,org.eclipse.uml2.diagram.usecase,0.8.0.v200806112132,org.eclipse.uml2.diagram.usecase.part.UMLDiagramEditorID,1241625417762
activated,editor,org.eclipse.uml2.diagram.usecase,0.8.0.v200806112132,org.eclipse.uml2.diagram.usecase.part.UMLDiagramEditorID,1241625422608
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1241625526627
activated,editor,org.eclipse.uml2.diagram.usecase,0.8.0.v200806112132,org.eclipse.uml2.diagram.usecase.part.UMLDiagramEditorID,1241625530780
activated,editor,org.eclipse.uml2.diagram.usecase,0.8.0.v200806112132,org.eclipse.uml2.diagram.usecase.part.UMLDiagramEditorID,1241625532749
closed,editor,org.eclipse.uml2.diagram.usecase,0.8.0.v200806112132,org.eclipse.uml2.diagram.usecase.part.UMLDiagramEditorID,1241625532755
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1241625535340
activated,editor,org.eclipse.uml2.diagram.clazz,0.8.0.v200806112132,org.eclipse.uml2.diagram.clazz.part.UMLDiagramEditorID,1241625538544
activated,editor,org.eclipse.uml2.diagram.usecase,0.8.0.v200806112132,org.eclipse.uml2.diagram.usecase.part.UMLDiagramEditorID,1241625541416
activated,editor,org.eclipse.uml2.diagram.usecase,0.8.0.v200806112132,org.eclipse.uml2.diagram.usecase.part.UMLDiagramEditorID,1241625545822
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1241625577905
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1241625629539
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1241625842557
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1241625846328
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1241625849592
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1241625907634
