what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.emf.search,0.7.0.v200806130939,org.eclipse.emf.search,1241797753801
stopped,bundle,org.eclipse.search,3.4.0.v20080603-2000,org.eclipse.search,1241797753901
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.4.0.v20080605-1800,org.eclipse.ltk.ui.refactoring,1241797753954
stopped,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1241797753954
stopped,bundle,org.eclipse.team.ui,3.4.0.I20080604,org.eclipse.team.ui,1241797754011
stopped,bundle,org.eclipse.emf.compare.ui,0.8.0.v200806180301,org.eclipse.emf.compare.ui,1241797754065
stopped,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1241797754223
stopped,bundle,org.eclipse.emf.ecoretools.diagram,0.8.0.v200806130600,org.eclipse.emf.ecoretools.diagram,1241797754223
stopped,bundle,org.eclipse.gmf.ecore.editor,2.0.100.v20080610-1132,org.eclipse.gmf.ecore.editor,1241797754251
stopped,bundle,org.eclipse.uml2.diagram.activity,0.8.0.v200806112132,org.eclipse.uml2.diagram.activity,1241797754252
stopped,bundle,org.eclipse.uml2.diagram.clazz,0.8.0.v200806112132,org.eclipse.uml2.diagram.clazz,1241797754252
stopped,bundle,org.eclipse.uml2.diagram.component,0.8.0.v200806112132,org.eclipse.uml2.diagram.component,1241797754252
stopped,bundle,org.eclipse.uml2.diagram.csd,0.8.0.v200806112132,org.eclipse.uml2.diagram.csd,1241797754252
stopped,bundle,org.eclipse.uml2.diagram.deploy,0.8.0.v200806112132,org.eclipse.uml2.diagram.deploy,1241797754252
stopped,bundle,org.eclipse.uml2.diagram.profile,0.8.0.v200806112132,org.eclipse.uml2.diagram.profile,1241797754252
stopped,bundle,org.eclipse.uml2.diagram.statemachine,0.8.0.v200806112132,org.eclipse.uml2.diagram.statemachine,1241797754252
stopped,bundle,org.eclipse.uml2.diagram.usecase,0.8.0.v200806112132,org.eclipse.uml2.diagram.usecase,1241797754252
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.render,1.1.0.v20080603-1553,org.eclipse.gmf.runtime.diagram.ui.render,1241797754252
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.printing.render,1.1.0.v20080425-1959,org.eclipse.gmf.runtime.diagram.ui.printing.render,1241797754884
stopped,bundle,org.eclipse.m2m.qvt.oml.runtime.ui,1.0.0.v20080611-1330,org.eclipse.m2m.qvt.oml.runtime.ui,1241797754923
stopped,bundle,org.eclipse.m2m.qvt.oml.runtime,1.0.0.v20080611-1330,org.eclipse.m2m.qvt.oml.runtime,1241797755066
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools,1241797755066
stopped,bundle,org.eclipse.jet.ui,0.9.0.v20080527,org.eclipse.jet.ui,1241797755066
stopped,bundle,org.eclipse.m2m.atl.adt.editor,2.0.0.v200806101117,org.eclipse.m2m.atl.adt.editor,1241797755066
stopped,bundle,org.eclipse.m2m.atl.engine.emfvm,2.0.0.v200806101117,org.eclipse.m2m.atl.engine.emfvm,1241797755162
