what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1241557705653
activated,editor,org.eclipse.uml2.diagram.usecase,0.8.0.v200806112132,org.eclipse.uml2.diagram.usecase.part.UMLDiagramEditorID,1241557708038
opened,editor,org.eclipse.uml2.diagram.usecase,0.8.0.v200806112132,org.eclipse.uml2.diagram.usecase.part.UMLDiagramEditorID,1241557710532
activated,editor,org.eclipse.uml2.diagram.usecase,0.8.0.v200806112132,org.eclipse.uml2.diagram.usecase.part.UMLDiagramEditorID,1241557710695
activated,editor,org.eclipse.uml2.diagram.clazz,0.8.0.v200806112132,org.eclipse.uml2.diagram.clazz.part.UMLDiagramEditorID,1241557722469
activated,editor,org.eclipse.uml2.diagram.usecase,0.8.0.v200806112132,org.eclipse.uml2.diagram.usecase.part.UMLDiagramEditorID,1241557728770
activated,editor,org.eclipse.uml2.diagram.usecase,0.8.0.v200806112132,org.eclipse.uml2.diagram.usecase.part.UMLDiagramEditorID,1241557730725
activated,editor,org.eclipse.uml2.diagram.usecase,0.8.0.v200806112132,org.eclipse.uml2.diagram.usecase.part.UMLDiagramEditorID,1241557734729
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1241557885800
started,bundle,org.eclipse.ltk.core.refactoring,3.4.0.v20080603-2000,org.eclipse.ltk.core.refactoring,1241557898938
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1241557905861
opened,editor,org.eclipse.uml2.diagram.activity,0.8.0.v200806112132,org.eclipse.uml2.diagram.activity.part.UMLDiagramEditorID,1241557925528
activated,editor,org.eclipse.uml2.diagram.activity,0.8.0.v200806112132,org.eclipse.uml2.diagram.activity.part.UMLDiagramEditorID,1241557926278
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1241557926493
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.newWizard,1241557926600
activated,editor,org.eclipse.uml2.diagram.usecase,0.8.0.v200806112132,org.eclipse.uml2.diagram.usecase.part.UMLDiagramEditorID,1241557928709
closed,editor,org.eclipse.uml2.diagram.activity,0.8.0.v200806112132,org.eclipse.uml2.diagram.activity.part.UMLDiagramEditorID,1241557928740
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1241557931081
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.0.v20080605-1800,org.eclipse.ltk.ui.refactoring,1241557932613
started,bundle,org.eclipse.pde.core,3.4.0.v20080604-2000,org.eclipse.pde.core,1241557932764
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1241557936301
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1241557938795
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1241557938834
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1241557943657
opened,editor,org.eclipse.uml2.diagram.usecase,0.8.0.v200806112132,org.eclipse.uml2.diagram.usecase.part.UMLDiagramEditorID,1241557959161
